latency,throughput,availability,reliability,response_time,efficiency_score,service_name,provider,logo_url
77.714,194.008,99.5659,97.9053,76.807,95.2263,Amazon EC2,AWS,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/aws-ec2.svg
70.384,207.121,99.456,98.641,90.847,96.8086,Google Cloud Run,Google Cloud,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/google-cloud-run.svg
145.47,178.194,99.4707,97.5106,167.245,92.5114,Azure Functions,Microsoft Azure,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/azure-functions.svg
103.285,211.34,99.1792,96.987,112.127,94.2189,Cloudflare CDN,Cloudflare,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/cloudflare-cdn.svg
130.603,201.744,98.799,97.5278,150.646,90.7236,Stripe Payments,Stripe,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/stripe-payments.svg
56.59,206.931,99.1382,98.6884,69.891,95.9255,Twilio SMS,Twilio,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/twilio-sms.svg
92.101,207.254,99.8898,99.1242,130.846,92.1128,OpenAI API,OpenAI,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/openai-api.svg
163.441,162.884,99.3028,99.0963,178.285,89.6949,Supabase Storage,Supabase,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/supabase-storage.svg
104.136,181.143,98.8758,96.895,124.142,91.5727,Vercel,Vercel,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/vercel.svg
46.455,224.742,99.6139,99.0544,76.39,96.2761,GitHub API,GitHub,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/github-api.svg
32.952,208.995,98.7951,98.1776,73.515,91.3811,Amazon EC2,AWS,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/aws-ec2.svg
115.544,180.485,98.905,97.5868,141.708,92.2657,Google Cloud Run,Google Cloud,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/google-cloud-run.svg
34.057,213.875,99.0025,98.1928,71.955,97.3079,Azure Functions,Microsoft Azure,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/azure-functions.svg
90.562,182.685,99.6874,98.8865,110.761,90.5971,Cloudflare CDN,Cloudflare,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/cloudflare-cdn.svg
60.508,230.531,98.4936,98.2468,78.841,95.5056,Stripe Payments,Stripe,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/stripe-payments.svg
42.086,171.821,98.914,97.1208,53.976,94.9475,Twilio SMS,Twilio,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/twilio-sms.svg
77.854,200.687,99.6208,97.5041,87.173,92.8835,OpenAI API,OpenAI,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/openai-api.svg
51.952,199.641,98.9734,98.4567,82.693,96.0384,Supabase Storage,Supabase,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/supabase-storage.svg
39.636,205.002,99.4837,97.4086,52.752,96.4858,Vercel,Vercel,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/vercel.svg
54.762,168.238,98.8213,97.9754,70.801,91.0239,GitHub API,GitHub,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/github-api.svg
63.042,207.438,98.9901,98.4111,84.364,94.3917,Amazon EC2,AWS,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/aws-ec2.svg
121.226,201.608,99.6164,99.3217,158.242,91.8539,Google Cloud Run,Google Cloud,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/google-cloud-run.svg
94.761,180.511,99.2781,98.6582,116.277,93.7319,Azure Functions,Microsoft Azure,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/azure-functions.svg
102.06,190.327,98.2495,96.4923,105.107,90.6678,Cloudflare CDN,Cloudflare,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/cloudflare-cdn.svg
49.222,224.367,99.1343,98.0491,63.791,94.0333,Stripe Payments,Stripe,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/stripe-payments.svg
94.787,182.2,99.4283,99.0368,100.385,90.9573,Twilio SMS,Twilio,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/twilio-sms.svg
56.442,210.284,99.0348,97.6932,67.336,93.0912,OpenAI API,OpenAI,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/openai-api.svg
103.919,180.307,99.1799,98.244,117.929,90.4364,Supabase Storage,Supabase,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/supabase-storage.svg
41.109,220.496,99.4693,97.5504,59.013,96.535,Vercel,Vercel,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/vercel.svg
108.141,204.289,99.7169,98.6268,103.586,89.129,GitHub API,GitHub,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/github-api.svg
97.136,170.479,98.3396,98.1423,118.292,90.1414,Amazon EC2,AWS,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/aws-ec2.svg
91.604,188.8,99.4335,99.1772,87.947,93.1438,Google Cloud Run,Google Cloud,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/google-cloud-run.svg
64.966,229.21,99.2672,97.9683,99.363,93.4717,Azure Functions,Microsoft Azure,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/azure-functions.svg
85.507,188.542,99.0287,98.7177,95.843,96.5612,Cloudflare CDN,Cloudflare,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/cloudflare-cdn.svg
100.874,191.867,99.4596,98.0518,112.079,91.6131,Stripe Payments,Stripe,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/stripe-payments.svg
90.49,186.54,99.9848,98.1051,111.424,91.5947,Twilio SMS,Twilio,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/twilio-sms.svg
88.425,218.806,98.6095,98.2549,96.277,92.4852,OpenAI API,OpenAI,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/openai-api.svg
50.443,231.074,99.999,99.0477,62.076,95.0331,Supabase Storage,Supabase,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/supabase-storage.svg
110.356,205.069,99.5526,97.9891,140.93,90.5696,Vercel,Vercel,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/vercel.svg
75.493,195.138,99.2433,97.3809,78.013,92.9005,GitHub API,GitHub,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/github-api.svg
119.019,184.068,99.3791,97.9668,144.62,92.8357,Amazon EC2,AWS,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/aws-ec2.svg
56.923,176.318,98.8669,98.3861,82.202,95.2554,Google Cloud Run,Google Cloud,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/google-cloud-run.svg
149.135,176.018,99.7882,99.7387,177.453,87.4712,Azure Functions,Microsoft Azure,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/azure-functions.svg
67.006,185.295,99.3652,97.7834,86.745,92.7378,Cloudflare CDN,Cloudflare,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/cloudflare-cdn.svg
37.811,192.281,98.9485,97.3138,40.863,95.4596,Stripe Payments,Stripe,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/stripe-payments.svg
62.226,210.643,99.6677,98.4996,85.508,97.6369,Twilio SMS,Twilio,https://envjjulupltdixvericz.supabase.co/storage/v1/object/public/service-logos/twilio-sms.svg
